threads,time
1,15185456
2,18830118
4,12971553
8,9792503
16,5528552
32,3453118
64,2559216
128,2318291
256,2190506
512,2160968
1024,2154776
2048,2181744
4096,2272574
8192,2568004
16384,2939774
